IDWalker,PathogenHumanWake,PathogenHumanCircular,MaximumProbableContacts,Scenario
1,801402,4408092,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
2,948034,1030595,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
3,1038773,159695,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
4,877067,643596,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
5,737756,109993,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
6,1097403,652304,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
7,807688,1872570,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
8,1004984,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
9,1671954,3071991,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
10,734696,438517,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
11,1170783,27005,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
12,609157,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
13,898343,1145183,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
14,1159635,2166,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
15,839110,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
16,1484696,2261879,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
17,1247105,976317,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
18,909750,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
19,1131011,174989,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
20,1024538,116237,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
21,829432,3263404,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
22,1008703,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
23,1747691,404833,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
24,1342611,5396672,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
25,1084127,1274646,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
26,1543727,218,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
27,755827,1097644,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
28,1328152,103361,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
29,1066472,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
30,1300862,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
31,908519,64606,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
32,650381,267489,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
33,531615,364992,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
34,654653,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
35,1135592,608433,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
36,715606,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
37,906158,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
38,714614,1287810,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
39,892093,1017244,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
40,1101051,1580903,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
41,1368713,123557,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
42,1912779,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
43,1141953,530150,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
44,1229105,3717,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
45,1664570,516507,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
46,1447989,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
47,795576,2485608,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
48,1441993,2015,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
49,950532,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
50,1266818,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
51,1147799,317132,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
52,743388,121560,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
