time(s),Duration(s),ElapsedTime(s),TotalPopulation,TotalInfected,Area(m²),Density(p/m²),TotalParticles,MaximumProbableContacts,CalculateDecay,CharacteristicTime(s),MotionRadius,Atleast1pWake,Atleast1pCircular,ParticlesWakeMax,ParticlesWakeMean,ParticlesWakeMin,ParticlesWakeMedian,ParticlesWakeMode,ParticlesWakeVariance,ParticlesWakeSkewness,ParticlesWakeKurtosis,ParticlesCircularMax,ParticlesCircularMean,ParticlesCircularMin,ParticlesCircularMedian,ParticlesCircularMode,ParticlesCircularVariance,ParticlesCircularSkewness,ParticlesCircularKurtosis,ParticlesWakeNZeroMax,ParticlesWakeNZeroMean,ParticlesWakeNZeroMin,ParticlesWakeNZeroMedian,ParticlesWakeNZeroMode,ParticlesWakeNZeroVariance,ParticlesWakeNZeroSkewness,ParticlesWakeNZeroKurtosis,ParticlesCircularNZeroMax,ParticlesCircularNZeroMean,ParticlesCircularNZeroMin,ParticlesCircularNZeroMedian,ParticlesCircularNZeroMode,ParticlesCircularNZeroVariance,ParticlesCircularNZeroSkewness,ParticlesCircularNZeroKurtosis,p_DummyCheckRandomness,Title
1,1200,0,1000,1,2123,0.471,0,1600,FALSE,100,12.5,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
2,1200,0,1000,1,2123,0.471,0,2400,FALSE,100,12.5,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
3,1200,0,1000,1,2123,0.471,0,3200,FALSE,100,12.5,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
4,1200,0,1000,1,2123,0.471,0,4000,FALSE,100,12.5,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
5,1200,0,1000,1,2123,0.471,0,4800,FALSE,100,12.5,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
6,1200,0,1000,1,2123,0.471,500,6400,FALSE,100,12.5,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
7,1200,0,1000,1,2123,0.471,500,8000,FALSE,100,12.5,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
8,1200,0,1000,1,2123,0.471,500,9600,FALSE,100,12.5,4,0,284,0.477477477,0,0,0,116.0172778,23.60924953,573.5321835,0,0,0,0,0,0,NaN,NaN,284,119.25,2,95.5,2,19710.25,0.388789054,-3.798566749,0,0,0,0,0,0,0,0,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
9,1200,0,1000,1,2123,0.471,500,11200,FALSE,100,12.5,7,1,340,0.921921922,0,0,0,209.3486071,18.554651,376.1267265,87,0.087087087,0,0,0,7.576576577,31.60696126,999,340,131.5714286,3,83,82,14766.95238,0.733480755,-0.216720866,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
10,1200,0,1000,1,2123,0.471,500,12800,FALSE,100,12.5,10,1,400,1.328328328,0,0,0,334.3570224,16.54743095,301.1262306,87,0.087087087,0,0,0,7.576576577,31.60696126,999,400,132.7,2,86.5,32,17706.45556,0.901219306,-0.012614351,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
11,1200,0,1000,1,2123,0.471,1000,15200,FALSE,100,12.5,15,1,580,1.803803804,0,0,0,584.346238,18.17325734,377.1464936,87,0.087087087,0,0,0,7.576576577,31.60696126,999,580,120.1333333,1,56,1,26424.8381,1.909215046,3.730121601,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
12,1200,0,1000,1,2123,0.471,1000,17600,FALSE,100,12.5,18,1,629,2.018018018,0,0,0,658.490657,18.50974588,397.4483786,87,0.087087087,0,0,0,7.576576577,31.60696126,999,629,112,1,57,57,25614.70588,2.323000222,5.932399601,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
13,1200,0,1000,1,2123,0.471,1000,20000,FALSE,100,12.5,23,1,638,2.471471471,0,0,0,737.1873116,16.78949574,338.3356319,87,0.087087087,0,0,0,7.576576577,31.60696126,999,638,107.3478261,1,59,1,21671.50988,2.468386865,7.153377797,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
14,1200,0,1000,1,2123,0.471,1000,22400,FALSE,100,12.5,27,1,643,2.718718719,0,0,0,802.2103807,15.96103759,305.4393058,87,0.087087087,0,0,0,7.576576577,31.60696126,999,643,100.5925926,1,59,59,20568.48148,2.518989497,7.349470842,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
15,1200,0,1000,1,2123,0.471,1000,24800,FALSE,100,12.5,30,1,646,2.96996997,0,0,0,850.916933,15.39788796,284.6828973,87,0.087087087,0,0,0,7.576576577,31.60696126,999,646,98.9,1,54,54,19468.64483,2.607674376,7.782399259,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
16,1200,0,1000,1,2123,0.471,1500,28000,FALSE,100,12.5,39,1,651,3.50950951,0,0,0,944.1720037,14.05613276,241.9935737,87,0.087087087,0,0,0,7.576576577,31.60696126,999,651,89.8974359,1,49,32,16826.51552,2.736761885,8.879470121,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
17,1200,0,1000,1,2123,0.471,1500,31200,FALSE,100,12.5,44,1,654,4.297297297,0,0,0,1117.517738,12.06680132,181.9602493,87,0.087087087,0,0,0,7.576576577,31.60696126,999,654,97.56818182,1,46.5,24,16624.90222,2.42465979,7.316593048,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
18,1200,0,1000,1,2123,0.471,1500,34400,FALSE,100,12.5,51,1,731,5.217217217,0,0,0,1409.063992,11.57783868,172.6169822,87,0.087087087,0,0,0,7.576576577,31.60696126,999,731,102.1960784,1,56,24,18015.84078,2.595265425,8.874506116,87,87,87,87,87,NaN,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
19,1200,0,1000,1,2123,0.471,1500,37600,FALSE,100,12.5,64,2,735,6.037037037,0,0,0,1563.628887,10.6954145,147.8884969,713,0.800800801,0,0,0,516.3300194,30.9686212,970.0177748,735,94.234375,1,45,5,16326.72197,2.692387408,9.504319183,713,400,87,400,87,195938,NaN,NaN,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
